model_key,language,language_name,requested,generated_success,success_rate,mean_runtime_seconds,mean_positive_clip_tokens,prompts_over_77_tokens,mean_phash_distance_to_en,mean_ssim_to_en,mean_structural_drift_to_en,mean_hist_l1_to_en,mean_luma,mean_contrast,mean_edge_density,mean_entropy,mean_colorfulness,baseline_anything_full_mean_structural_drift,baseline_anything_full_mean_phash,baseline_full_n,delta_structural_drift_vs_anything_full,direction_vs_anything_full
dreamshaper8,en,English,24,24,1.0,11.103583333333331,19.833333333333332,0,0.0,1.0,0.0,0.0,140.1039276123047,64.82652823869533,0.0611775716145833,6.514701519880262,62.432208648823064,0.0,0.0,88,0.0,similar
dreamshaper8,zh,Chinese,24,24,1.0,4.027041666666666,50.5,0,0.41796875,0.2569811224630023,0.7430188775369976,1.742780049641927,196.44706281026205,41.55380100537875,0.0375067392985026,6.144917618259271,32.71359397436195,0.7322486478514013,0.36967329545454547,88,0.010770229685596266,similar
dreamshaper8,hi,Hindi,24,24,1.0,4.0268749999999995,52.416666666666664,0,0.41015625,0.2100279960829079,0.7899720039170921,1.5335337320963542,142.329127629598,52.65117284406768,0.0752487182617187,6.8885471925726245,28.33454473337753,0.8142811046987749,0.41264204545454547,88,-0.024309100781682802,similar
dreamshaper8,es,Spanish,24,24,1.0,4.194625,26.833333333333332,0,0.37890625,0.4523361590084373,0.5476638409915627,1.412578582763672,150.35067431131998,62.16402286041551,0.049597422281901,6.04277210763566,73.12122361565731,0.45159310798016866,0.3181818181818182,88,0.09607073301139407,higher drift
dreamshaper8,fr,French,24,24,1.0,4.0285416666666665,25.583333333333332,0,0.3541666666666667,0.4638665706954051,0.5361334293045948,1.2704582214355469,155.8429355621338,58.1538126945244,0.0456447601318359,6.357370175212545,59.56618870896759,0.4369437796499265,0.31640625,88,0.09918964965466837,higher drift
absolutereality_v16,en,English,24,24,1.0,7.077791666666666,19.833333333333332,0,0.0,1.0,0.0,0.0,142.98025512695312,64.11083645257398,0.0737794240315755,6.848604635602359,66.45726909822345,0.0,0.0,88,0.0,similar
absolutereality_v16,zh,Chinese,24,24,1.0,4.027625,50.5,0,0.40625,0.2501875566420157,0.7498124433579844,1.8539683024088545,178.0282357533773,35.51692320420747,0.0562381744384765,6.247026254355372,51.80299268631771,0.7322486478514013,0.36967329545454547,88,0.017563795506583046,similar
absolutereality_v16,hi,Hindi,24,24,1.0,4.03,52.416666666666664,0,0.4518229166666667,0.2116635589336547,0.7883364410663453,1.6195844014485676,138.81301180521646,55.51227059509187,0.1188468933105468,6.896687840268072,45.194020837660794,0.8142811046987749,0.41264204545454547,88,-0.025944663632429643,similar
absolutereality_v16,es,Spanish,24,24,1.0,4.034458333333333,26.833333333333332,0,0.3880208333333333,0.4329410708078054,0.5670589291921946,1.3984883626302085,145.42924563090006,60.261253262470824,0.0678908030192057,6.7508671753467775,78.22166606220223,0.45159310798016866,0.3181818181818182,88,0.11546582121202592,higher drift
absolutereality_v16,fr,French,24,24,1.0,4.027208333333333,25.583333333333332,0,0.3893229166666667,0.3956728673185398,0.6043271326814601,1.4308878580729167,154.9081885019938,57.25710316153833,0.0548343658447265,6.565004525883961,68.26478103644793,0.4369437796499265,0.31640625,88,0.16738335303153362,higher drift
