prompt_id,concept_id,scope,language,prompt_text,image_path,object_presence,color_binding,count_match,relation_match,negation_match,strict_success,observation_note
S01_base_en,S01_base,core,en,A red cup is to the left of a blue book.,REDACTED_PROJECT_ROOT/experiments/gpt_image_2_multilingual_probe_20260520_100011_fixed5fr/images/S01_base_en.png,1,1,1,1,,1,Red cup and blue book are visible; cup is placed to the left of the book.
S01_base_zh,S01_base,core,zh,红色杯子在蓝色书的左边。,REDACTED_PROJECT_ROOT/experiments/gpt_image_2_multilingual_probe_20260520_100011_fixed5fr/images/S01_base_zh.png,1,1,1,1,,1,Red cup and blue book are visible; left-right relation is visually satisfied.
S01_base_hi,S01_base,core,hi,एक लाल कप एक नीली किताब के बाईं ओर है।,REDACTED_PROJECT_ROOT/experiments/gpt_image_2_multilingual_probe_20260520_100011_fixed5fr/images/S01_base_hi.png,1,1,1,1,,1,Red cup and blue book are visible; cup appears to the left of the book.
S01_base_es,S01_base,core,es,Una taza roja está a la izquierda de un libro azul.,REDACTED_PROJECT_ROOT/experiments/gpt_image_2_multilingual_probe_20260520_100011_fixed5fr/images/S01_base_es.png,1,1,1,1,,1,Red cup and blue book are visible; cup is on the left side of the book.
S01_base_fr,S01_base,core,fr,Une tasse rouge est à gauche d'un livre bleu.,REDACTED_PROJECT_ROOT/experiments/gpt_image_2_multilingual_probe_20260520_100011_fixed5fr/images/S01_base_fr.png,1,1,1,1,,1,Red cup and blue book are visible; left-of composition is clear.
S09_base_en,S09_base,core,en,"A blue ship and a yellow sun appear together, and there is no bird.",REDACTED_PROJECT_ROOT/experiments/gpt_image_2_multilingual_probe_20260520_100011_fixed5fr/images/S09_base_en.png,1,1,,,1,1,Blue ship and yellow sun are visible; no bird is visible in the image.
S09_base_zh,S09_base,core,zh,蓝色船和黄色太阳同时出现，不要出现鸟。,REDACTED_PROJECT_ROOT/experiments/gpt_image_2_multilingual_probe_20260520_100011_fixed5fr/images/S09_base_zh.png,1,1,,,1,1,Blue ship and yellow sun are visible; no bird is visible.
S09_base_hi,S09_base,core,hi,"एक नीला जहाज़ और एक पीला सूरज साथ दिखाई दें, और कोई पक्षी न हो।",REDACTED_PROJECT_ROOT/experiments/gpt_image_2_multilingual_probe_20260520_100011_fixed5fr/images/S09_base_hi.png,1,1,,,1,1,Blue ship and yellow sun are visible; no bird is visible.
S09_base_es,S09_base,core,es,"Un barco azul y un sol amarillo aparecen juntos, y no hay ningún pájaro.",REDACTED_PROJECT_ROOT/experiments/gpt_image_2_multilingual_probe_20260520_100011_fixed5fr/images/S09_base_es.png,1,1,,,1,1,Blue ship and yellow sun are visible; no bird is visible.
S09_base_fr,S09_base,core,fr,"Un navire bleu et un soleil jaune apparaissent ensemble, et il n'y a pas d'oiseau.",REDACTED_PROJECT_ROOT/experiments/gpt_image_2_multilingual_probe_20260520_100011_fixed5fr/images/S09_base_fr.png,1,1,,,1,1,Blue ship and yellow sun are visible; no bird is visible.
CTRL_S05_base_en,S05_base,control,en,Two red apples are to the left of one green pear.,REDACTED_PROJECT_ROOT/experiments/gpt_image_2_multilingual_probe_20260520_100011_fixed5fr/images/CTRL_S05_base_en.png,1,1,1,1,,1,Two red apples and one green pear are visible; apples are to the left of the pear.
CTRL_S05_base_zh,S05_base,control,zh,两个红色苹果在一个绿色梨的左边。,REDACTED_PROJECT_ROOT/experiments/gpt_image_2_multilingual_probe_20260520_100011_fixed5fr/images/CTRL_S05_base_zh.png,1,1,1,1,,1,Two red apples and one green pear are visible; apples are to the left of the pear.
