item_id,language,language_name,prompt_used,prompt_used_has_non_ascii,revised_prompt,revised_prompt_has_non_ascii,revised_prompt_ascii_ratio,revised_prompt_english_like,prompt_chars,revised_prompt_chars,char_expansion_ratio,composition_specification,clean_background,realism_or_stylization,negative_no_text,object_relation_clarification,detail_expansion,curation_operation_count
CTRL_S05_base_en,en,English,Two red apples are to the left of one green pear.,0,"A simple clean illustration showing two red apples positioned to the left of one green pear on a plain light background. The apples should clearly be on the left side, the pear on the right side. Minimal composition, centered, realistic but slightly stylized, no text.",0,1.0,1,49,268,5.4694,1,1,1,1,1,1,6
CTRL_S05_base_zh,zh,Chinese,两个红色苹果在一个绿色梨的左边。,1,"A simple clean illustration showing two red apples positioned to the left of one green pear. White background, clear spacing, realistic fruit shapes, no text.",0,1.0,1,16,158,9.875,1,1,1,1,1,1,6
S01_base_en,en,English,A red cup is to the left of a blue book.,0,"A simple clean illustration of a red cup positioned to the left of a blue book on a plain light background, realistic object placement, centered composition.",0,1.0,1,40,157,3.925,1,1,1,0,1,1,5
S01_base_es,es,Spanish,Una taza roja está a la izquierda de un libro azul.,1,"A simple realistic still life on a clean table: a red cup placed to the left of a blue book. Clear spatial relationship, minimalist background, well-lit.",0,1.0,1,51,153,3.0,1,1,1,0,0,1,4
S01_base_fr,fr,French,Une tasse rouge est à gauche d'un livre bleu.,1,"A simple clean illustration showing a red cup positioned to the left of a blue book on a plain background. Minimal composition, clear spatial relationship, realistic colors.",0,1.0,1,45,173,3.8444,1,1,1,0,1,1,5
S01_base_hi,hi,Hindi,एक लाल कप एक नीली किताब के बाईं ओर है।,1,"A simple realistic scene: a red cup placed to the left of a blue book on a clean tabletop, clear composition, well-lit, minimal background.",0,1.0,1,38,139,3.6579,1,1,1,0,0,1,4
S01_base_zh,zh,Chinese,红色杯子在蓝色书的左边。,1,"A simple clean illustration showing a red cup positioned to the left of a blue book on a plain background. Natural lighting, clear object placement, minimal composition.",0,1.0,1,12,169,14.0833,1,1,1,0,1,1,5
S09_base_en,en,English,"A blue ship and a yellow sun appear together, and there is no bird.",0,"A simple clean illustration of a blue ship on the water with a bright yellow sun in the sky. The scene should clearly show only the blue ship and the yellow sun, with no bird present anywhere. Bright, cheerful colors, minimal background, balanced composition.",0,1.0,1,67,259,3.8657,1,1,1,0,1,1,5
S09_base_es,es,Spanish,"Un barco azul y un sol amarillo aparecen juntos, y no hay ningún pájaro.",1,"Ilustración simple y limpia: un barco azul navegando junto a un sol amarillo brillante en el cielo. Ambos aparecen juntos en la escena. No debe haber ningún pájaro. Estilo colorido, fondo claro, composición equilibrada.",1,0.9817,1,72,219,3.0417,0,0,0,0,0,0,0
S09_base_fr,fr,French,"Un navire bleu et un soleil jaune apparaissent ensemble, et il n'y a pas d'oiseau.",0,"Illustration simple et claire: un navire bleu sur la mer avec un grand soleil jaune dans le ciel, les deux apparaissent ensemble dans la scène. Aucun oiseau, aucun animal volant, ciel dégagé. Style propre, couleurs vives, composition équilibrée.",1,0.9796,1,82,245,2.9878,1,0,1,0,0,0,2
S09_base_hi,hi,Hindi,"एक नीला जहाज़ और एक पीला सूरज साथ दिखाई दें, और कोई पक्षी न हो।",1,"A simple clean scene showing a blue ship and a yellow sun visible together in the same frame, with no birds anywhere. Bright, clear composition, minimal background, child-friendly illustration style.",0,1.0,1,63,199,3.1587,1,1,1,0,0,1,4
S09_base_zh,zh,Chinese,蓝色船和黄色太阳同时出现，不要出现鸟。,1,"A simple clean illustration showing a blue boat and a yellow sun appearing together in the same scene, with no birds anywhere. Bright, clear colors, minimal background, child-friendly style.",0,1.0,1,19,190,10.0,1,1,1,0,0,1,4
